ano;dia;mes;nome;status;tipo
2020;2;1;Kelly Williamson;Nao Concluido;VIP
2020;3;1;Kelly Williamson;Problema no Pagamento;Pista
2020;3;1;Larry Teague;Problema no Pagamento;VIP
2020;2;1;Linda Batiz;Concluido;Pista Premium
2020;3;1;Lucia Hayes;Concluido;Pista
2020;1;1;Lyle Branch;Concluido;VIP
2020;1;1;Lyle Branch;Problema no Pagamento;Pista
2020;2;1;Lyle Branch;Concluido;Pista
2020;3;1;Marcela Nelson;Concluido;Pista
2020;2;1;Margaret Robinson;Nao Concluido;Pista Premium
2020;2;1;Maria Marshall;Problema no Pagamento;VIP
2020;1;1;Maria Villa;Problema no Pagamento;Pista Premium
2020;2;1;Matt Smudrick;Nao Concluido;VIP
2020;1;1;Michael Gaines;Nao Concluido;Pista Premium
2020;2;1;Michael Gaines;Concluido;Pista Premium
2020;3;1;Miguel Ramey;Concluido;Pista
2020;1;1;Mitchell Kostyla;Nao Concluido;VIP
2020;3;1;Mitchell Kostyla;Concluido;Pista
2020;2;1;Mitchell Kostyla;Nao Concluido;Pista Premium
2020;3;1;Nancy Degroot;Nao Concluido;Pista
2020;1;1;Nancy Smith;Nao Concluido;VIP
2020;1;1;Nicholas Johansson;Concluido;VIP
2020;1;1;Pamela Nixon;Concluido;Pista Premium
2020;1;1;Ricardo Clasby;Concluido;Pista Premium
2020;3;1;Richard Culpepper;Concluido;Pista
2020;1;1;Richard Culpepper;Problema no Pagamento;Pista Premium
2020;2;1;Richard Culpepper;Concluido;Pista Premium
2020;3;1;Richard Jimenez;Nao Concluido;Pista Premium
2020;2;1;Rick Fleishman;Concluido;Pista Premium
2020;3;1;Robert Copenhaver;Concluido;Pista Premium
2020;1;1;Ruth Ridge;Concluido;VIP
2020;2;1;Sabrina Graves;Nao Concluido;Pista Premium
2020;3;1;Sandra Duncan;Concluido;Pista
2020;2;1;Shayla Baird;Nao Concluido;VIP
2020;1;1;Suzanne Herring;Problema no Pagamento;Pista
2020;1;1;Tina Yee;Nao Concluido;VIP
2020;2;1;Tina Yee;Nao Concluido;VIP
2020;3;1;Tina Yee;Problema no Pagamento;VIP
2020;1;1;Tina Yee;Concluido;Pista Premium
2020;1;1;Travis Whatley;Problema no Pagamento;Pista
2020;1;1;William Barnes;Nao Concluido;VIP
2020;3;1;Yong Baltazar;Nao Concluido;VIP
2020;3;1;Young Besaw;Concluido;Pista
